DJF	MAM	JJA	SON	Region	RCP	Period	BC
0.247	0.236	0.217	0.185	North_Pacific	rcp26	2011_2040	SCALING_mean
0.250	0.250	0.220	0.193	Central_Pacific	rcp26	2011_2040	SCALING_mean
0.241	0.226	0.239	0.193	South_Pacific	rcp26	2011_2040	SCALING_mean
0.307	0.272	0.249	0.228	Central	rcp26	2011_2040	SCALING_mean
0.229	0.239	0.213	0.209	North	rcp26	2011_2040	SCALING_mean
0.264	0.270	0.240	0.231	Caribbean	rcp26	2011_2040	SCALING_mean
0.259	0.224	0.195	0.201	North_Pacific	rcp45	2011_2040	SCALING_mean
0.259	0.232	0.189	0.204	Central_Pacific	rcp45	2011_2040	SCALING_mean
0.255	0.211	0.203	0.205	South_Pacific	rcp45	2011_2040	SCALING_mean
0.313	0.268	0.222	0.239	Central	rcp45	2011_2040	SCALING_mean
0.240	0.249	0.190	0.218	North	rcp45	2011_2040	SCALING_mean
0.262	0.269	0.209	0.233	Caribbean	rcp45	2011_2040	SCALING_mean
0.281	0.276	0.254	0.211	North_Pacific	rcp85	2011_2040	SCALING_mean
0.286	0.290	0.254	0.222	Central_Pacific	rcp85	2011_2040	SCALING_mean
0.280	0.266	0.275	0.222	South_Pacific	rcp85	2011_2040	SCALING_mean
0.347	0.343	0.289	0.263	Central	rcp85	2011_2040	SCALING_mean
0.261	0.296	0.247	0.241	North	rcp85	2011_2040	SCALING_mean
0.301	0.324	0.274	0.265	Caribbean	rcp85	2011_2040	SCALING_mean
0.330	0.320	0.268	0.249	North_Pacific	rcp26	2041_2070	SCALING_mean
0.346	0.335	0.283	0.266	Central_Pacific	rcp26	2041_2070	SCALING_mean
0.337	0.302	0.303	0.268	South_Pacific	rcp26	2041_2070	SCALING_mean
0.413	0.386	0.322	0.314	Central	rcp26	2041_2070	SCALING_mean
0.309	0.336	0.282	0.284	North	rcp26	2041_2070	SCALING_mean
0.361	0.374	0.317	0.320	Caribbean	rcp26	2041_2070	SCALING_mean
0.420	0.408	0.387	0.342	North_Pacific	rcp45	2041_2070	SCALING_mean
0.432	0.421	0.386	0.347	Central_Pacific	rcp45	2041_2070	SCALING_mean
0.429	0.387	0.406	0.349	South_Pacific	rcp45	2041_2070	SCALING_mean
0.483	0.469	0.405	0.400	Central	rcp45	2041_2070	SCALING_mean
0.368	0.390	0.352	0.360	North	rcp45	2041_2070	SCALING_mean
0.409	0.420	0.368	0.387	Caribbean	rcp45	2041_2070	SCALING_mean
0.554	0.556	0.474	0.415	North_Pacific	rcp85	2041_2070	SCALING_mean
0.575	0.571	0.496	0.442	Central_Pacific	rcp85	2041_2070	SCALING_mean
0.567	0.520	0.520	0.443	South_Pacific	rcp85	2041_2070	SCALING_mean
0.666	0.662	0.546	0.509	Central	rcp85	2041_2070	SCALING_mean
0.505	0.570	0.472	0.465	North	rcp85	2041_2070	SCALING_mean
0.567	0.610	0.519	0.510	Caribbean	rcp85	2041_2070	SCALING_mean
0.321	0.325	0.268	0.242	North_Pacific	rcp26	2071_2100	SCALING_mean
0.328	0.345	0.283	0.257	Central_Pacific	rcp26	2071_2100	SCALING_mean
0.323	0.319	0.305	0.263	South_Pacific	rcp26	2071_2100	SCALING_mean
0.401	0.394	0.315	0.301	Central	rcp26	2071_2100	SCALING_mean
0.295	0.336	0.274	0.275	North	rcp26	2071_2100	SCALING_mean
0.340	0.382	0.313	0.305	Caribbean	rcp26	2071_2100	SCALING_mean
0.535	0.501	0.479	0.437	North_Pacific	rcp45	2071_2100	SCALING_mean
0.552	0.532	0.490	0.446	Central_Pacific	rcp45	2071_2100	SCALING_mean
0.548	0.486	0.512	0.447	South_Pacific	rcp45	2071_2100	SCALING_mean
0.636	0.595	0.513	0.500	Central	rcp45	2071_2100	SCALING_mean
0.477	0.501	0.427	0.446	North	rcp45	2071_2100	SCALING_mean
0.533	0.552	0.462	0.481	Caribbean	rcp45	2071_2100	SCALING_mean
0.874	0.915	0.839	0.738	North_Pacific	rcp85	2071_2100	SCALING_mean
0.903	0.928	0.866	0.749	Central_Pacific	rcp85	2071_2100	SCALING_mean
0.897	0.848	0.894	0.746	South_Pacific	rcp85	2071_2100	SCALING_mean
1.045	1.041	0.872	0.823	Central	rcp85	2071_2100	SCALING_mean
0.786	0.867	0.742	0.729	North	rcp85	2071_2100	SCALING_mean
0.871	0.910	0.779	0.779	Caribbean	rcp85	2071_2100	SCALING_mean
