"","OBS","MOD","MONTH_NUM","METHOD","KF","Month.ordered"
"1",26.86,25.375866522363,"JAN","IDW",1,"JAN"
"2",18,23.1890343252125,"JAN","IDW",1,"JAN"
"3",22.66,18.6015418286775,"JAN","IDW",1,"JAN"
"4",15.6216666666667,13.0478108726973,"JAN","IDW",1,"JAN"
"5",17.3366666666667,17.2289726698908,"JAN","IDW",1,"JAN"
"6",24.9333333333333,22.2643641727732,"JAN","IDW",1,"JAN"
"7",27.4333333333333,27.2780487870866,"JAN","IDW",1,"JAN"
"8",21.7333333333333,26.8296356613035,"JAN","IDW",1,"JAN"
"9",26.8866666666667,26.0630158632645,"FEB","IDW",1,"FEB"
"10",18.35,23.5452177951541,"FEB","IDW",1,"FEB"
"11",22.79,18.6894820865576,"FEB","IDW",1,"FEB"
"12",15.8,13.2572280317784,"FEB","IDW",1,"FEB"
"13",17.9333333333333,17.1687157861271,"FEB","IDW",1,"FEB"
"14",25.3,22.3749966410852,"FEB","IDW",1,"FEB"
"15",27.83,27.6752076346879,"FEB","IDW",1,"FEB"
"16",22.06,27.1223946189368,"FEB","IDW",1,"FEB"
"17",28.3733333333333,27.1014458591333,"MAR","IDW",1,"MAR"
"18",19.0833333333333,24.5729780535997,"MAR","IDW",1,"MAR"
"19",23.7433333333333,19.5612851488564,"MAR","IDW",1,"MAR"
"20",16.2333333333333,14.0539338880689,"MAR","IDW",1,"MAR"
"21",18.69,18.1301957798606,"MAR","IDW",1,"MAR"
"22",22.4833333333333,23.0983463896923,"MAR","IDW",1,"MAR"
"23",28.3,28.148054491383,"MAR","IDW",1,"MAR"
"24",22.5666666666667,27.5452098901941,"MAR","IDW",1,"MAR"
"25",29.07,27.6629151249611,"APR","IDW",1,"APR"
"26",19.7333333333333,24.9220700650475,"APR","IDW",1,"APR"
"27",24.0966666666667,20.0391747050714,"APR","IDW",1,"APR"
"28",16.75,14.4324312288301,"APR","IDW",1,"APR"
"29",19.9066666666667,18.8494195948849,"APR","IDW",1,"APR"
"30",26.5333333333333,23.5657763955533,"APR","IDW",1,"APR"
"31",28.3066666666667,28.1681867762661,"APR","IDW",1,"APR"
"32",22.6566666666667,27.5592636660235,"APR","IDW",1,"APR"
"33",28.14,27.1932633470684,"MAY","IDW",1,"MAY"
"34",20,24.75788965495,"MAY","IDW",1,"MAY"
"35",24.6533333333333,20.3935233340634,"MAY","IDW",1,"MAY"
"36",17.2,14.7933102582665,"MAY","IDW",1,"MAY"
"37",19.8766666666667,19.5843780190589,"MAY","IDW",1,"MAY"
"38",27.1666666666667,21.4887192323592,"MAY","IDW",1,"MAY"
"39",27.8833333333333,27.7413852673447,"MAY","IDW",1,"MAY"
"40",22.2866666666667,27.2063027260588,"MAY","IDW",1,"MAY"
"41",26.5333333333333,26.0903282949806,"JUN","IDW",1,"JUN"
"42",19.6833333333333,24.1071172832989,"JUN","IDW",1,"JUN"
"43",24.5233333333333,20.0316043186731,"JUN","IDW",1,"JUN"
"44",17.5,14.3651985102394,"JUN","IDW",1,"JUN"
"45",19.4133333333333,19.1723204758864,"JUN","IDW",1,"JUN"
"46",26.8833333333333,23.5567586828024,"JUN","IDW",1,"JUN"
"47",27.4566666666667,27.319070611329,"JUN","IDW",1,"JUN"
"48",22.0133333333333,26.8373451845004,"JUN","IDW",1,"JUN"
"49",27.18,26.2610045605886,"JUL","IDW",1,"JUL"
"50",19.45,24.1024599221744,"JUL","IDW",1,"JUL"
"51",24.09,19.8105095669507,"JUL","IDW",1,"JUL"
"52",17.4166666666667,14.0196168948608,"JUL","IDW",1,"JUL"
"53",19.4833333333333,18.9858436006318,"JUL","IDW",1,"JUL"
"54",26.25,23.310155579352,"JUL","IDW",1,"JUL"
"55",27.3766666666667,27.3267306316072,"JUL","IDW",1,"JUL"
"56",21.9233333333333,26.7302765225276,"JUL","IDW",1,"JUL"
"57",27.3166666666667,26.3036692247539,"AUG","IDW",1,"AUG"
"58",19.5166666666667,24.0801473120174,"AUG","IDW",1,"AUG"
"59",23.9366666666667,19.9471545436429,"AUG","IDW",1,"AUG"
"60",17.2833333333333,14.10404740138,"AUG","IDW",1,"AUG"
"61",19.3833333333333,19.0754485199565,"AUG","IDW",1,"AUG"
"62",26.1833333333333,24.3247134265492,"AUG","IDW",1,"AUG"
"63",27.1533333333333,27.019236191987,"AUG","IDW",1,"AUG"
"64",21.8233333333333,26.3350044186146,"AUG","IDW",1,"AUG"
"65",26.81,25.8796737790107,"SEP","IDW",1,"SEP"
"66",19.1333333333333,23.8225830684799,"SEP","IDW",1,"SEP"
"67",24.1833333333333,19.6669980277199,"SEP","IDW",1,"SEP"
"68",17.3833333333333,13.9994809540278,"SEP","IDW",1,"SEP"
"69",19.37,16.9153069016093,"SEP","IDW",1,"SEP"
"70",26.3666666666667,23.349992677109,"SEP","IDW",1,"SEP"
"71",27.1666666666667,27.0249137574987,"SEP","IDW",1,"SEP"
"72",21.6733333333333,26.6850394380589,"SEP","IDW",1,"SEP"
"73",26.36,25.917845398396,"OCT","IDW",1,"OCT"
