"","num.month","DELTA.MAE.idw3","DELTA.RMSE.idw3","DELTA.R2.idw3","DELTA.MAE.cubist","DELTA.RMSE.cubist","DELTA.R2.cubist","DELTA.MAE.ok","DELTA.RMSE.ok","DELTA.R2.ok","DELTA.MAE.ked","DELTA.RMSE.ked","DELTA.R2.ked","DELTA.MAE.rf","DELTA.RMSE.rf","DELTA.R2.rf","R2.RF.train","error.RF.train","num.kf"
"1",1,2.66671647496177,3.26641911865157,0.5435,0.54942098458608,0.660267423849101,0.9834,2.44098524027824,2.81396031387346,0.6367,0.625862983940064,0.814194063724835,0.9636,0.940249031944457,1.02956473338653,0.9641,0.856828807160717,2.86098780007141,1
"2",2,2.69612079632379,3.27377285450641,0.557,0.43054136912028,0.537483714665899,0.9835,2.70736027737308,3.187256925393,0.5712,1.06660444033673,1.42134413448932,0.8975,0.70307837500001,0.842415791078463,0.9661,0.798847384417408,4.28924045082486,1
"3",3,2.42853572910632,3.15225728152817,0.578,0.762955280939738,1.1367278479145,0.9438,2.58514228564551,2.91353671701693,0.6259,0.935584668657724,1.55708066821673,0.8837,1.25010943750001,1.79345673597523,0.8583,0.844688654121816,3.38714016641458,1
"4",4,2.75459540485467,3.2541520076669,0.5365,0.52648442586263,0.618299425082432,0.9835,2.32030095831753,2.77974326619951,0.636,0.591503701794867,0.859921189157786,0.9589,0.835828763888883,0.987321441187149,0.9597,0.812049019569828,3.93554513527827,1
"5",5,2.92536828202262,3.60588839490557,0.3926,0.817267049153646,1.05939030076835,0.9416,2.80185543683542,3.1845112260447,0.4873,0.980578483945375,1.67082381309197,0.8409,1.16088063888888,1.40626361798843,0.898,0.831542212284798,2.94344608526812,1
"6",6,2.62781436340271,3.24389690301223,0.4479,0.447403863271077,0.539860756567095,0.9862,2.51270450959229,2.95722522600122,0.5291,0.494283760120106,0.673416487393722,0.9775,0.777102041666665,0.911909772908007,0.97,0.870447783271867,2.15414055213998,1
"7",7,2.69277611800553,3.2469851236817,0.4676,0.453508310317993,0.538718438886832,0.9867,2.58387289521917,3.03610512921551,0.5388,0.524992476217296,0.699687529490638,0.9761,0.725752380138882,0.860977950551787,0.9751,0.850069858504149,2.66180786641443,1
"8",8,2.44469363612865,2.99578880422096,0.5215,0.593847948710124,0.785895324927399,0.9682,2.45291893649639,3.0666568120533,0.5408,0.848797885112876,1.07681838883758,0.9485,1.06455305555554,1.41069296298382,0.9003,0.809781484710437,3.25790453148108,1
"9",9,3.0180737178621,3.44538538496886,0.4509,0.48170152982076,0.596643283608385,0.9767,2.378508711945,2.77189896953022,0.5766,0.487046376223643,0.619166047674368,0.9789,0.745667527777776,0.886024773231134,0.9445,0.840400059159786,2.82598500459842,1
"10",10,2.68023788605303,3.30475605794548,0.4121,0.429463335673014,0.568153718886411,0.9874,2.48666500580348,2.99836502848571,0.5006,0.347170773723092,0.501727664625154,0.9872,0.896320069444438,1.08912616074509,0.9497,0.867943241427852,2.11428781072103,1
"11",11,2.70514622136837,3.34911827023525,0.4443,0.512737086613973,0.588401268677072,0.9897,2.55366065086097,2.99366375825367,0.5344,0.356235333587565,0.465363394684825,0.9868,0.890252583333329,0.985786361269279,0.9723,0.866760019347138,2.24306889391588,1
"12",12,2.84128415769171,3.36748342848078,0.4975,0.419906845092773,0.566521125733198,0.9813,2.48148380705798,2.91052836512551,0.5932,0.477150512563353,0.681344508854974,0.9742,0.69359231458333,0.847235175861899,0.964,0.862236282733001,2.62765554344379,1
"13",1,1.03140597452321,1.30323719552972,0.9132,0.758281103769939,1.24269321107348,0.9327,1.82556357071754,2.66339393229821,0.6872,0.60425508314293,1.04628394475361,0.9571,1.58214369814815,1.84852214957308,0.8058,0.884355896076839,2.29773410443826,2
"14",2,1.75271738976208,2.26532262509127,0.7838,1.19186610963609,1.62022313087945,0.8864,2.68070354466637,3.51931056090729,0.4659,1.5918280914603,2.45531070170444,0.7769,1.94605877777777,2.28404101623682,0.7315,0.833936441305654,3.48017084128939,2
"15",3,1.12014865822024,1.43431559323068,0.9083,0.884148686726888,1.42940273278861,0.9278,1.82444956638249,2.74332929978392,0.6907,0.781616528183397,1.27647869375772,0.9471,1.73839868148148,1.97337138667127,0.7924,0.855525348837308,3.11768957525805,2
"16",4,1.64708385863382,2.04396505690713,0.8646,1.28869561513265,1.84405024894365,0.891,2.21807088123314,2.80159601828748,0.6974,1.20637300532332,1.7398306347747,0.9196,2.38681742592592,2.78784103075327,0.7028,0.854703087660464,2.92654872150644,2
"17",5,0.992010079816501,1.24360650876202,0.9003,0.819171507093641,1.32876049166697,0.9187,1.5993249639184,2.23525413449905,0.7234,0.884814987682664,1.44587866293367,0.9154,1.40074111111112,1.58419263038272,0.7978,0.849008659593538,2.66924597436502,2
"18",6,1.07635327400977,1.30708256323786,0.8739,0.726424827575684,1.20598621504131,0.9203,1.60523536327316,2.34581848304328,0.657,0.75341138025562,1.11729784996666,0.921,1.19915577407408,1.34668967190571,0.8349,0.882342574827829,1.96477054320611,2
