DJF	MAM	JJA	SON	Region	RCP	Period	BC
1.285	1.232	1.434	1.198	North_Pacific	rcp26	2011_2040	SCALING_mean
1.212	1.250	1.301	1.160	Central_Pacific	rcp26	2011_2040	SCALING_mean
1.236	1.254	1.442	1.229	South_Pacific	rcp26	2011_2040	SCALING_mean
1.433	1.260	1.384	1.277	Central	rcp26	2011_2040	SCALING_mean
1.363	1.271	1.391	1.361	North	rcp26	2011_2040	SCALING_mean
1.400	1.340	1.401	1.358	Caribbean	rcp26	2011_2040	SCALING_mean
1.353	1.157	1.289	1.300	North_Pacific	rcp45	2011_2040	SCALING_mean
1.260	1.153	1.111	1.231	Central_Pacific	rcp45	2011_2040	SCALING_mean
1.311	1.160	1.232	1.313	South_Pacific	rcp45	2011_2040	SCALING_mean
1.458	1.241	1.230	1.339	Central	rcp45	2011_2040	SCALING_mean
1.431	1.332	1.239	1.420	North	rcp45	2011_2040	SCALING_mean
1.392	1.343	1.220	1.372	Caribbean	rcp45	2011_2040	SCALING_mean
1.467	1.448	1.676	1.367	North_Pacific	rcp85	2011_2040	SCALING_mean
1.385	1.458	1.498	1.332	Central_Pacific	rcp85	2011_2040	SCALING_mean
1.432	1.480	1.656	1.417	South_Pacific	rcp85	2011_2040	SCALING_mean
1.624	1.595	1.605	1.473	Central	rcp85	2011_2040	SCALING_mean
1.559	1.583	1.610	1.566	North	rcp85	2011_2040	SCALING_mean
1.595	1.613	1.596	1.557	Caribbean	rcp85	2011_2040	SCALING_mean
1.719	1.666	1.769	1.612	North_Pacific	rcp26	2041_2070	SCALING_mean
1.673	1.669	1.672	1.596	Central_Pacific	rcp26	2041_2070	SCALING_mean
1.723	1.669	1.829	1.710	South_Pacific	rcp26	2041_2070	SCALING_mean
1.927	1.788	1.790	1.761	Central	rcp26	2041_2070	SCALING_mean
1.839	1.789	1.839	1.852	North	rcp26	2041_2070	SCALING_mean
1.915	1.862	1.856	1.877	Caribbean	rcp26	2041_2070	SCALING_mean
2.197	2.145	2.555	2.212	North_Pacific	rcp45	2041_2070	SCALING_mean
2.107	2.119	2.296	2.090	Central_Pacific	rcp45	2041_2070	SCALING_mean
2.210	2.149	2.460	2.229	South_Pacific	rcp45	2041_2070	SCALING_mean
2.264	2.185	2.247	2.241	Central	rcp45	2041_2070	SCALING_mean
2.199	2.082	2.296	2.343	North	rcp45	2041_2070	SCALING_mean
2.177	2.084	2.139	2.270	Caribbean	rcp45	2041_2070	SCALING_mean
2.891	2.921	3.129	2.683	North_Pacific	rcp85	2041_2070	SCALING_mean
2.796	2.869	2.932	2.660	Central_Pacific	rcp85	2041_2070	SCALING_mean
2.911	2.883	3.142	2.824	South_Pacific	rcp85	2041_2070	SCALING_mean
3.112	3.078	3.035	2.854	Central	rcp85	2041_2070	SCALING_mean
3.015	3.041	3.084	3.030	North	rcp85	2041_2070	SCALING_mean
3.009	3.029	3.026	2.998	Caribbean	rcp85	2041_2070	SCALING_mean
1.676	1.692	1.770	1.566	North_Pacific	rcp26	2071_2100	SCALING_mean
1.590	1.724	1.675	1.547	Central_Pacific	rcp26	2071_2100	SCALING_mean
1.658	1.768	1.846	1.680	South_Pacific	rcp26	2071_2100	SCALING_mean
1.868	1.824	1.750	1.686	Central	rcp26	2071_2100	SCALING_mean
1.755	1.787	1.790	1.788	North	rcp26	2071_2100	SCALING_mean
1.796	1.897	1.832	1.794	Caribbean	rcp26	2071_2100	SCALING_mean
2.796	2.624	3.167	2.827	North_Pacific	rcp45	2071_2100	SCALING_mean
2.686	2.663	2.911	2.691	Central_Pacific	rcp45	2071_2100	SCALING_mean
2.817	2.688	3.098	2.855	South_Pacific	rcp45	2071_2100	SCALING_mean
2.968	2.761	2.852	2.801	Central	rcp45	2071_2100	SCALING_mean
2.845	2.672	2.785	2.902	North	rcp45	2071_2100	SCALING_mean
2.825	2.742	2.680	2.818	Caribbean	rcp45	2071_2100	SCALING_mean
4.567	4.827	5.543	4.776	North_Pacific	rcp85	2071_2100	SCALING_mean
4.397	4.680	5.151	4.519	Central_Pacific	rcp85	2071_2100	SCALING_mean
4.610	4.706	5.421	4.760	South_Pacific	rcp85	2071_2100	SCALING_mean
4.879	4.847	4.846	4.617	Central	rcp85	2071_2100	SCALING_mean
4.690	4.620	4.835	4.744	North	rcp85	2071_2100	SCALING_mean
4.616	4.508	4.519	4.567	Caribbean	rcp85	2071_2100	SCALING_mean
