X	Y	SLOPE	ALOS_FILL	ASPECT	TOPOGRAPHIC	LS_FACTOR	DIRECT_INSO	CONVEXITY	WIND_EXPOSI	BUFFER	TEMP	COAST	PREC	MONTH
505483.0883	1094685.022	0.080	1604.23	4.24	10.81	1.84	7.20	46.75	1.07	440.50	16.93	64257.00	14.76	JAN
457973.3436	1103925.343	0.019	658.44	1.01	14.83	0.46	6.74	45.67	0.91	286.04	23.62	41593.00	9.33	JAN
457988.3964	1116828.597	0.047	1059.44	3.13	12.35	1.12	7.03	46.70	1.01	181.12	20.91	48918.00	6.76	JAN
545567.7398	1190568.004	0.002	1.36	1.99	20.73	0.04	6.48	21.66	0.96	606.31	24.86	4472.00	388.85	JAN
489018.6939	1043075.398	0.010	41.87	3.45	14.47	0.16	6.52	35.58	0.95	390.44	27.40	10296.00	66.63	JAN
381383.6709	1152029.561	0.041	108.98	4.95	13.09	1.04	6.50	44.51	0.95	546.66	26.86	68029.00	8.23	JAN
617455.0761	934487.5977	0.004	25.66	2.46	15.57	0.04	6.49	33.11	0.92	567.34	27.31	25807.00	89.32	JAN
549425.7955	1035732.561	0.232	1573.74	3.86	11.33	8.83	6.94	48.08	1.03	346.94	18.30	42638.00	101.38	JAN
483531.2057	1050450.269	0.054	69.71	3.10	11.78	1.14	6.62	39.06	0.95	659.94	27.43	15232.00	61.98	JAN
452543.1489	1142642.379	0.059	579.65	5.33	12.45	1.61	6.63	41.11	1.03	529.91	21.56	65765.00	291.30	JAN
362954.2147	1106003.872	0.101	173.93	4.79	9.34	1.79	6.45	36.90	1.07	375.77	26.51	25495.00	10.32	JAN
500000	1103900.97	0.060	1450.11	4.77	11.54	1.39	7.08	47.14	1.05	239.15	18.22	70838.00	58.15	JAN
611905.1541	951063.5427	0.000	21.00	3.14	16.15	0.00	6.49	31.28	0.89	470.64	27.41	37947.00	101.39	JAN
551142.0996	1118683.826	0.023	91.43	1.55	11.32	0.36	6.52	41.76	0.97	110.45	24.16	35511.00	296.39	JAN
503656.127	1087311.737	0.041	1398.80	0.33	14.02	0.89	6.99	43.79	0.95	741.29	17.34	57385.00	59.66	JAN
470767.1511	1107599.36	0.024	862.99	2.60	11.95	0.42	6.89	48.93	0.98	422.81	22.34	55036.00	6.47	JAN
326635.8516	1154103.987	0.002	19.87	0.83	15.75	0.03	6.48	31.23	0.89	717.87	27.11	26833.00	3.04	JAN
611561.8128	1072732.314	0.000	56.00	6.28	16.95	0.00	6.51	39.89	0.86	483.02	24.93	17493.00	189.44	JAN
554986.6794	985972.0955	0.000	15.40	4.82	14.89	0.00	6.50	34.56	0.91	318.40	27.41	19000.00	56.76	JAN
467065.4953	1054147.444	0.000	27.92	2.97	15.13	0.00	6.50	34.53	0.95	424.44	27.37	12530.00	39.09	JAN
589877.5946	956540.8174	0.162	84.59	3.80	10.84	4.82	6.60	34.11	0.91	372.68	27.75	35468.00	148.61	JAN
330573.4391	1211249.595	0.017	313.92	4.75	13.12	0.27	6.62	44.08	1.06	837.83	23.09	17720.00	43.99	JAN
430497.7417	1068943.548	0.080	102.61	4.75	11.52	2.06	6.46	29.64	0.97	576.01	27.22	8544.00	31.15	JAN
516445.1151	1103904.702	0.262	3085.33	3.77	7.90	6.01	6.95	54.50	1.31	499.31	7.47	70093.00	86.33	JAN
478074.2779	1105750.893	0.028	936.38	3.73	12.59	0.54	6.93	45.43	0.96	22.56	22.54	60745.00	7.08	JAN
461633.7513	1109451.224	0.044	770.80	3.84	13.46	1.43	6.88	47.26	0.96	655.11	23.12	48021.00	14.38	JAN
567584.6406	1116867.735	0.008	19.40	1.23	14.20	0.11	6.48	38.32	0.92	590.29	24.25	25807.00	320.38	JAN
458023.4529	1146322.092	0.106	499.75	2.73	11.06	2.95	6.46	39.93	1.04	454.81	22.94	72201.00	235.48	JAN
516455.0546	1081785.443	0.088	1088.26	2.20	14.43	4.25	6.88	49.39	0.82	415.20	18.81	57245.00	69.63	JAN
386699.9804	1102234.538	0.000	0.00	1.65	17.75	0.00	6.48	22.61	0.88	768.30	26.88	24166.00	15.43	JAN
332201.8504	1172516.583	0.006	82.74	5.46	15.21	0.10	6.51	42.93	0.97	323.75	26.76	21587.00	4.24	JAN
604151.4948	1105894.194	0.018	56.45	4.60	10.82	0.28	6.47	18.06	1.10	224.98	24.82	2828.00	320.82	JAN
490848.0357	1039388.483	0.000	16.15	2.47	14.05	0.00	6.50	31.60	0.91	530.53	27.40	8544.00	61.62	JAN
443343.5606	1096571.872	0.013	252.63	4.90	10.73	0.12	6.59	47.14	0.98	400.66	27.34	25060.00	16.10	JAN
525562.8992	1129716.256	0.023	229.74	0.36	12.87	0.44	6.54	42.78	1.02	495.62	22.66	47854.00	265.03	JAN
448884.4883	1137117.411	0.066	701.70	5.18	12.95	2.18	6.63	44.19	0.99	535.01	19.30	59059.00	144.66	JAN
461685.8481	1157378.035	0.010	103.24	6.16	13.86	0.16	6.51	39.03	0.93	667.93	24.37	83726.00	164.74	JAN
408734.6134	1142729.245	0.065	1454.88	4.14	9.85	1.22	7.17	50.20	1.25	349.18	18.00	53000.00	112.36	JAN
562155.1161	1087364.049	0.040	1171.39	2.83	9.77	0.59	6.98	48.60	1.12	428.79	18.29	47170.00	149.74	JAN
341096.2485	1122688.224	0.008	123.21	3.78	16.05	0.15	6.55	37.30	0.91	61.59	26.73	31765.00	4.97	JAN
520103.6723	1096533.418	0.171	1830.46	2.52	10.52	5.38	7.43	52.79	1.10	221.47	15.62	72139.00	149.84	JAN
452501.2122	1111305.437	0.011	1013.20	1.73	14.06	0.16	6.92	45.85	1.03	744.03	21.09	41110.00	6.58	JAN
558647.2275	989663.7056	0.015	49.42	4.66	13.31	0.43	6.50	38.32	0.93	485.25	27.46	23000.00	52.78	JAN
514624.5197	1087314.461	0.035	1309.28	2.28	12.23	0.72	7.09	47.95	0.98	763.08	17.37	62169.00	74.14	JAN
323444.5913	1240793.286	0.010	48.10	2.72	17.73	0.19	6.51	39.77	0.90	29753.14	24.47	18385.00	44.88	JAN
472553.2849	1052299.837	0.000	13.60	2.37	17.04	0.00	6.49	33.52	0.90	787.08	27.43	13342.00	48.20	JAN
498175.5272	1157356.824	0.036	56.00	1.08	10.70	0.49	6.48	40.07	0.94	451.60	25.18	62426.00	241.90	JAN
408630.6556	1102172.702	0.000	1.58	2.88	14.34	0.00	6.49	17.61	0.90	772.57	27.16	16031.00	6.50	JAN
465268.3692	1089171.235	0.124	984.19	5.36	9.46	2.61	6.62	45.88	1.12	577.36	20.27	42942.00	29.01	JAN
335985.2137	1200158.114	0.044	379.01	4.08	11.01	0.80	6.70	46.29	1.10	495.35	24.59	25495.00	30.60	JAN
483528.0309	1043077.361	0.013	39.25	3.81	11.27	0.15	6.49	28.46	0.96	701.28	27.43	8062.00	71.12	JAN
505481.9784	1102058.109	0.165	2050.98	4.56	9.69	4.31	7.27	50.18	1.17	649.77	17.44	70774.00	37.22	JAN
521966.8474	1035707.211	0.215	1136.92	2.33	7.91	4.54	7.09	46.97	1.17	138.17	22.94	22627.00	54.45	JAN
476242.3007	1098378.898	0.039	848.19	6.02	14.48	1.05	6.76	43.11	0.93	483.64	22.41	56754.00	7.39	JAN
490862.4409	1098372.295	0.015	1154.24	4.86	12.34	0.21	6.97	44.68	0.98	533.17	19.57	62968.00	11.36	JAN
481717.5132	1083629.565	0.123	1032.62	4.05	11.52	4.21	6.86	47.27	0.95	444.75	20.41	45880.00	20.05	JAN
483555.7222	1105747.986	0.027	1076.65	4.40	12.93	0.54	6.96	44.57	0.99	485.81	20.83	65460.00	16.91	JAN
479921.1923	1140772.626	0.049	453.24	1.29	10.97	0.90	6.64	44.89	1.02	193.84	22.32	81345.00	262.30	JAN
423258.3138	1105825.655	0.082	160.71	3.31	10.86	1.89	6.71	40.27	1.00	260.40	26.35	19925.00	7.70	JAN
611835.7466	976871.4804	0.053	940.41	5.95	9.18	0.79	6.78	47.72	1.09	362.06	21.73	62241.00	87.77	JAN
512792.5868	1098373.396	0.152	2496.25	3.86	9.46	3.69	7.67	53.14	1.21	587.30	12.45	71113.00	37.40	JAN
326544.2777	1135664.179	0.006	49.02	3.21	14.87	0.08	6.49	30.94	0.91	515.11	26.97	29411.00	6.74	JAN
479897.3443	1098376.697	0.062	892.97	4.85	13.62	2.23	6.85	43.04	0.90	501.73	21.94	58592.00	9.38	JAN
374056.6271	1144680.605	0.003	15.09	6.23	17.10	0.04	6.47	38.05	0.88	76.04	26.45	65192.00	9.78	JAN
394175.8594	1157518.96	0.045	575.39	4.21	10.88	0.85	6.77	47.71	1.06	298.82	22.38	69635.00	62.67	JAN
503655.0226	1098371.332	0.126	1756.99	4.45	9.67	2.88	7.22	47.94	1.13	697.36	15.37	67624.00	19.45	JAN
500000	1096527.879	0.043	1378.72	4.37	11.05	0.74	7.09	45.67	1.01	276.46	18.71	64257.00	12.00	JAN
540211.5959	1092863.429	0.166	847.02	4.50	8.74	3.70	6.82	42.54	1.03	251.05	20.87	62626.00	139.81	JAN
465280.6404	1102074.3	0.026	658.74	4.23	12.45	0.49	6.79	48.61	0.97	500.94	24.40	47170.00	9.88	JAN
388859.3631	1205470.516	0.003	48.73	1.07	15.35	0.03	6.50	40.94	0.94	450.07	24.63	76295.00	139.39	JAN
531101.7709	1057832.404	0.118	2688.57	0.36	11.34	3.62	7.23	52.85	1.12	118.92	10.12	43932.00	41.14	JAN
560432.4744	1021001.884	0.051	541.44	3.16	12.61	1.35	6.81	41.37	0.96	565.05	24.90	38897.00	74.10	JAN
456173.1076	1126047.47	0.061	1749.47	3.96	9.91	1.11	7.29	50.64	1.19	389.48	15.99	53907.00	26.33	JAN
505483.0883	1094685.022	0.080	1604.23	4.24	10.81	1.84	7.20	46.75	1.07	440.50	16.86	64257.00	9.32	FEB
457973.3436	1103925.343	0.019	658.44	1.01	14.83	0.46	6.74	45.67	0.91	286.04	24.27	41593.00	9.76	FEB
457988.3964	1116828.597	0.047	1059.44	3.13	12.35	1.12	7.03	46.70	1.01	181.12	21.26	48918.00	6.46	FEB
545567.7398	1190568.004	0.002	1.36	1.99	20.73	0.04	6.48	21.66	0.96	606.31	25.10	4472.00	226.52	FEB
489018.6939	1043075.398	0.010	41.87	3.45	14.47	0.16	6.52	35.58	0.95	390.44	27.80	10296.00	33.89	FEB
381383.6709	1152029.561	0.041	108.98	4.95	13.09	1.04	6.50	44.51	0.95	546.66	26.89	68029.00	14.37	FEB
617455.0761	934487.5977	0.004	25.66	2.46	15.57	0.04	6.49	33.11	0.92	567.34	27.70	25807.00	69.71	FEB
549425.7955	1035732.561	0.232	1573.74	3.86	11.33	8.83	6.94	48.08	1.03	346.94	18.52	42638.00	85.58	FEB
483531.2057	1050450.269	0.054	69.71	3.10	11.78	1.14	6.62	39.06	0.95	659.94	27.83	15232.00	37.10	FEB
452543.1489	1142642.379	0.059	579.65	5.33	12.45	1.61	6.63	41.11	1.03	529.91	21.74	65765.00	177.13	FEB
362954.2147	1106003.872	0.101	173.93	4.79	9.34	1.79	6.45	36.90	1.07	375.77	27.27	25495.00	10.77	FEB
500000	1103900.97	0.060	1450.11	4.77	11.54	1.39	7.08	47.14	1.05	239.15	17.29	70838.00	39.06	FEB
611905.1541	951063.5427	0.000	21.00	3.14	16.15	0.00	6.49	31.28	0.89	470.64	27.81	37947.00	97.89	FEB
551142.0996	1118683.826	0.023	91.43	1.55	11.32	0.36	6.52	41.76	0.97	110.45	24.21	35511.00	185.66	FEB
503656.127	1087311.737	0.041	1398.80	0.33	14.02	0.89	6.99	43.79	0.95	741.29	17.93	57385.00	40.09	FEB
470767.1511	1107599.36	0.024	862.99	2.60	11.95	0.42	6.89	48.93	0.98	422.81	23.15	55036.00	11.45	FEB
326635.8516	1154103.987	0.002	19.87	0.83	15.75	0.03	6.48	31.23	0.89	717.87	27.95	26833.00	5.39	FEB
611561.8128	1072732.314	0.000	56.00	6.28	16.95	0.00	6.51	39.89	0.86	483.02	25.30	17493.00	198.53	FEB
554986.6794	985972.0955	0.000	15.40	4.82	14.89	0.00	6.50	34.56	0.91	318.40	27.81	19000.00	47.72	FEB
467065.4953	1054147.444	0.000	27.92	2.97	15.13	0.00	6.50	34.53	0.95	424.44	27.77	12530.00	30.09	FEB
589877.5946	956540.8174	0.162	84.59	3.80	10.84	4.82	6.60	34.11	0.91	372.68	27.83	35468.00	143.78	FEB
330573.4391	1211249.595	0.017	313.92	4.75	13.12	0.27	6.62	44.08	1.06	837.83	23.31	17720.00	20.43	FEB
430497.7417	1068943.548	0.080	102.61	4.75	11.52	2.06	6.46	29.64	0.97	576.01	28.06	8544.00	21.24	FEB
516445.1151	1103904.702	0.262	3085.33	3.77	7.90	6.01	6.95	54.50	1.31	499.31	7.84	70093.00	48.41	FEB
478074.2779	1105750.893	0.028	936.38	3.73	12.59	0.54	6.93	45.43	0.96	22.56	23.09	60745.00	10.31	FEB
461633.7513	1109451.224	0.044	770.80	3.84	13.46	1.43	6.88	47.26	0.96	655.11	23.71	48021.00	15.14	FEB
567584.6406	1116867.735	0.008	19.40	1.23	14.20	0.11	6.48	38.32	0.92	590.29	24.05	25807.00	191.17	FEB
458023.4529	1146322.092	0.106	499.75	2.73	11.06	2.95	6.46	39.93	1.04	454.81	23.15	72201.00	155.95	FEB
516455.0546	1081785.443	0.088	1088.26	2.20	14.43	4.25	6.88	49.39	0.82	415.20	18.98	57245.00	51.13	FEB
386699.9804	1102234.538	0.000	0.00	1.65	17.75	0.00	6.48	22.61	0.88	768.30	27.68	24166.00	14.85	FEB
332201.8504	1172516.583	0.006	82.74	5.46	15.21	0.10	6.51	42.93	0.97	323.75	27.51	21587.00	1.52	FEB
604151.4948	1105894.194	0.018	56.45	4.60	10.82	0.28	6.47	18.06	1.10	224.98	24.78	2828.00	201.55	FEB
490848.0357	1039388.483	0.000	16.15	2.47	14.05	0.00	6.50	31.60	0.91	530.53	27.80	8544.00	38.68	FEB
443343.5606	1096571.872	0.013	252.63	4.90	10.73	0.12	6.59	47.14	0.98	400.66	28.38	25060.00	20.79	FEB
525562.8992	1129716.256	0.023	229.74	0.36	12.87	0.44	6.54	42.78	1.02	495.62	22.79	47854.00	198.11	FEB
448884.4883	1137117.411	0.066	701.70	5.18	12.95	2.18	6.63	44.19	0.99	535.01	19.44	59059.00	73.66	FEB
461685.8481	1157378.035	0.010	103.24	6.16	13.86	0.16	6.51	39.03	0.93	667.93	24.61	83726.00	101.19	FEB
408734.6134	1142729.245	0.065	1454.88	4.14	9.85	1.22	7.17	50.20	1.25	349.18	18.35	53000.00	68.60	FEB
562155.1161	1087364.049	0.040	1171.39	2.83	9.77	0.59	6.98	48.60	1.12	428.79	18.47	47170.00	98.84	FEB
341096.2485	1122688.224	0.008	123.21	3.78	16.05	0.15	6.55	37.30	0.91	61.59	27.17	31765.00	10.76	FEB
520103.6723	1096533.418	0.171	1830.46	2.52	10.52	5.38	7.43	52.79	1.10	221.47	15.80	72139.00	76.56	FEB
452501.2122	1111305.437	0.011	1013.20	1.73	14.06	0.16	6.92	45.85	1.03	744.03	21.47	41110.00	4.73	FEB
558647.2275	989663.7056	0.015	49.42	4.66	13.31	0.43	6.50	38.32	0.93	485.25	27.66	23000.00	59.06	FEB
514624.5197	1087314.461	0.035	1309.28	2.28	12.23	0.72	7.09	47.95	0.98	763.08	17.57	62169.00	51.50	FEB
323444.5913	1240793.286	0.010	48.10	2.72	17.73	0.19	6.51	39.77	0.90	29753.14	24.72	18385.00	16.79	FEB
472553.2849	1052299.837	0.000	13.60	2.37	17.04	0.00	6.49	33.52	0.90	787.08	27.83	13342.00	17.57	FEB
498175.5272	1157356.824	0.036	56.00	1.08	10.70	0.49	6.48	40.07	0.94	451.60	25.05	62426.00	154.02	FEB
408630.6556	1102172.702	0.000	1.58	2.88	14.34	0.00	6.49	17.61	0.90	772.57	27.96	16031.00	6.26	FEB
465268.3692	1089171.235	0.124	984.19	5.36	9.46	2.61	6.62	45.88	1.12	577.36	20.75	42942.00	27.66	FEB
335985.2137	1200158.114	0.044	379.01	4.08	11.01	0.80	6.70	46.29	1.10	495.35	25.08	25495.00	10.50	FEB
483528.0309	1043077.361	0.013	39.25	3.81	11.27	0.15	6.49	28.46	0.96	701.28	27.83	8062.00	42.99	FEB
505481.9784	1102058.109	0.165	2050.98	4.56	9.69	4.31	7.27	50.18	1.17	649.77	17.44	70774.00	21.33	FEB
521966.8474	1035707.211	0.215	1136.92	2.33	7.91	4.54	7.09	46.97	1.17	138.17	23.28	22627.00	43.60	FEB
476242.3007	1098378.898	0.039	848.19	6.02	14.48	1.05	6.76	43.11	0.93	483.64	22.92	56754.00	11.30	FEB
490862.4409	1098372.295	0.015	1154.24	4.86	12.34	0.21	6.97	44.68	0.98	533.17	19.60	62968.00	10.89	FEB
481717.5132	1083629.565	0.123	1032.62	4.05	11.52	4.21	6.86	47.27	0.95	444.75	20.73	45880.00	34.46	FEB
483555.7222	1105747.986	0.027	1076.65	4.40	12.93	0.54	6.96	44.57	0.99	485.81	21.19	65460.00	17.52	FEB
479921.1923	1140772.626	0.049	453.24	1.29	10.97	0.90	6.64	44.89	1.02	193.84	22.52	81345.00	205.36	FEB
423258.3138	1105825.655	0.082	160.71	3.31	10.86	1.89	6.71	40.27	1.00	260.40	27.33	19925.00	6.36	FEB
611835.7466	976871.4804	0.053	940.41	5.95	9.18	0.79	6.78	47.72	1.09	362.06	22.06	62241.00	78.87	FEB
512792.5868	1098373.396	0.152	2496.25	3.86	9.46	3.69	7.67	53.14	1.21	587.30	12.75	71113.00	16.63	FEB
326544.2777	1135664.179	0.006	49.02	3.21	14.87	0.08	6.49	30.94	0.91	515.11	19.46	29411.00	5.17	FEB
479897.3443	1098376.697	0.062	892.97	4.85	13.62	2.23	6.85	43.04	0.90	501.73	22.41	58592.00	12.16	FEB
374056.6271	1144680.605	0.003	15.09	6.23	17.10	0.04	6.47	38.05	0.88	76.04	27.37	65192.00	14.39	FEB
394175.8594	1157518.96	0.045	575.39	4.21	10.88	0.85	6.77	47.71	1.06	298.82	22.56	69635.00	26.70	FEB
503655.0226	1098371.332	0.126	1756.99	4.45	9.67	2.88	7.22	47.94	1.13	697.36	14.38	67624.00	17.73	FEB
500000	1096527.879	0.043	1378.72	4.37	11.05	0.74	7.09	45.67	1.01	276.46	18.83	64257.00	16.14	FEB
540211.5959	1092863.429	0.166	847.02	4.50	8.74	3.70	6.82	42.54	1.03	251.05	20.99	62626.00	99.70	FEB
465280.6404	1102074.3	0.026	658.74	4.23	12.45	0.49	6.79	48.61	0.97	500.94	25.10	47170.00	18.46	FEB
388859.3631	1205470.516	0.003	48.73	1.07	15.35	0.03	6.50	40.94	0.94	450.07	24.87	76295.00	67.36	FEB
531101.7709	1057832.404	0.118	2688.57	0.36	11.34	3.62	7.23	52.85	1.12	118.92	10.67	43932.00	33.75	FEB
560432.4744	1021001.884	0.051	541.44	3.16	12.61	1.35	6.81	41.37	0.96	565.05	25.45	38897.00	50.40	FEB
456173.1076	1126047.47	0.061	1749.47	3.96	9.91	1.11	7.29	50.64	1.19	389.48	16.07	53907.00	15.18	FEB
505483.0883	1094685.022	0.080	1604.23	4.24	10.81	1.84	7.20	46.75	1.07	440.50	17.94	64257.00	10.37	MAR
457973.3436	1103925.343	0.019	658.44	1.01	14.83	0.46	6.74	45.67	0.91	286.04	24.90	41593.00	15.26	MAR
457988.3964	1116828.597	0.047	1059.44	3.13	12.35	1.12	7.03	46.70	1.01	181.12	22.07	48918.00	7.39	MAR
545567.7398	1190568.004	0.002	1.36	1.99	20.73	0.04	6.48	21.66	0.96	606.31	25.90	4472.00	158.51	MAR
489018.6939	1043075.398	0.010	41.87	3.45	14.47	0.16	6.52	35.58	0.95	390.44	28.27	10296.00	52.93	MAR
381383.6709	1152029.561	0.041	108.98	4.95	13.09	1.04	6.50	44.51	0.95	546.66	28.37	68029.00	11.54	MAR
617455.0761	934487.5977	0.004	25.66	2.46	15.57	0.04	6.49	33.11	0.92	567.34	28.17	25807.00	95.28	MAR
549425.7955	1035732.561	0.232	1573.74	3.86	11.33	8.83	6.94	48.08	1.03	346.94	19.08	42638.00	116.71	MAR
483531.2057	1050450.269	0.054	69.71	3.10	11.78	1.14	6.62	39.06	0.95	659.94	28.30	15232.00	64.05	MAR
452543.1489	1142642.379	0.059	579.65	5.33	12.45	1.61	6.63	41.11	1.03	529.91	22.55	65765.00	96.81	MAR
